transaction_id,merchant_id,customer_id,amount,currency,payment_method,failure_code,failure_reason_raw,failure_timestamp,customer_payment_history,retry_attempt_number,would_succeed_on_retry
txn_f759ea1f691c,merch_860,cust_1915,1365.69,INR,upi,ERR_NETWORK_TIMEOUT,Gateway timeout during authorization,2026-08-26T17:47:23.932706,7,0,True
txn_4f946d083fa5,merch_620,cust_9398,417.21,INR,upi,ERR_INSUFFICIENT_FUNDS,Issuer declined: Insufficient funds in account,2026-08-28T11:02:23.932706,0,0,True
txn_cbd4abf402e3,merch_881,cust_8804,4754.7,INR,card,ERR_3DS_FAILED,3D Secure authentication failed or abandoned,2026-08-26T23:06:23.932706,0,0,False
txn_e4f89935d51e,merch_824,cust_2153,4372.0,INR,card,ERR_CARD_EXPIRED,Transaction declined: Card expired,2026-08-27T10:56:23.932706,2,0,False
txn_53dbf1d04951,merch_320,cust_1102,1543.47,INR,netbanking,ERR_INSUFFICIENT_FUNDS,Issuer declined: Insufficient funds in account,2026-08-27T00:36:23.932706,4,0,False
txn_e25768a0f52a,merch_811,cust_3617,2661.94,INR,upi,ERR_NETWORK_TIMEOUT,Gateway timeout during authorization,2026-08-27T17:52:23.932706,9,0,False
txn_236eda09ec8e,merch_923,cust_4345,611.17,INR,card,ERR_NETWORK_TIMEOUT,Gateway timeout during authorization,2026-08-28T03:00:23.932706,13,0,False
txn_1d81920405d9,merch_163,cust_9365,1260.18,INR,netbanking,ERR_DUPLICATE_TXN,Duplicate transaction detected,2026-08-28T14:20:23.932706,0,0,False
txn_6062e5b71f35,merch_325,cust_4402,589.79,INR,netbanking,ERR_INSUFFICIENT_FUNDS,Issuer declined: Insufficient funds in account,2026-08-27T14:14:23.932706,3,0,False
txn_4792653c7ae6,merch_618,cust_8889,3894.63,INR,upi,ERR_3DS_FAILED,3D Secure authentication failed or abandoned,2026-08-28T02:43:23.932706,2,0,False
txn_83ac6133e5f7,merch_198,cust_4977,2093.61,INR,upi,ERR_NETWORK_TIMEOUT,Gateway timeout during authorization,2026-08-27T18:01:23.932706,4,0,False
txn_15aa994c9392,merch_367,cust_3521,658.05,INR,card,ERR_INSUFFICIENT_FUNDS,Issuer declined: Insufficient funds in account,2026-08-26T20:44:23.932706,1,0,False
txn_f7f591ae3854,merch_394,cust_3278,4168.52,INR,netbanking,ERR_CARD_EXPIRED,Transaction declined: Card expired,2026-08-27T02:23:23.932706,11,0,False
